,step,time
0,10,0.104908544
0,11,0.038783879
0,12,0.031826265
0,13,0.030512275
0,14,0.032411916
0,15,0.035056856
0,16,0.040426305
0,17,0.047023412
0,18,0.040745825
0,19,0.039959178
0,20,0.036800562
0,21,0.03376594
0,22,0.025775835
0,23,0.026465913
0,24,0.027405107
0,25,0.03530398
0,26,0.035110045
0,27,0.033191891
0,28,0.041293004
0,29,0.035348744
0,30,0.03679931
0,31,0.045302027
0,32,0.043913097
0,33,0.044106591
0,34,0.048464409
0,35,0.052515261
0,36,0.053793133
0,37,0.044625186
0,38,0.060877044
0,39,0.0631308
0,40,0.06355662
0,41,0.066065193
0,42,0.064356603
0,43,0.04846935
0,44,0.076672306
0,45,0.058720092
0,46,0.062101926
0,47,0.068318678
0,48,0.07581232
0,49,0.050272918
0,50,0.054014649
0,51,0.062282176
0,52,0.054295537
0,53,0.049272178
0,54,0.063818863
0,55,0.077409551
0,56,0.078667916
0,57,0.05793711
0,58,0.069966786
0,59,0.055581363
0,60,0.070720732
0,61,0.080972106
0,62,0.066396798
0,63,0.073580366
0,64,0.081564078
0,65,0.078657827
0,66,0.091715052
0,67,0.100867582
0,68,0.099157338
0,69,0.090204094
0,70,0.095367236
0,71,0.081288901
0,72,0.079716978
0,73,0.092173555
0,74,0.087253369
0,75,0.079119906
0,76,0.081359084
0,77,0.073215121
0,78,0.09975411
0,79,0.111997726
0,80,0.102610527
0,81,0.07073493
0,82,0.098136561
0,83,0.080573307
0,84,0.082834596
0,85,0.085683059
0,86,0.063739804
0,87,0.09297962
0,88,0.07359812
0,89,0.109753449
0,90,0.116245831
0,91,0.11807092
0,92,0.085189481
0,93,0.102234382
0,94,0.085783889
0,95,0.146757957
0,96,0.120334533
0,97,0.106281717
0,98,0.109830525
0,99,0.096552534
0,100,0.101435159
0,101,0.115510388
0,102,0.11376584
0,103,0.107143417
0,104,0.100113506
0,105,0.113549935
0,106,0.126484961
0,107,0.133245426
0,108,0.145169703
0,109,0.134083961
0,110,0.11334517
0,111,0.121103559
0,112,0.135840783
0,113,0.120944581
0,114,0.10226558
0,115,0.126076104
0,116,0.123327899
0,117,0.12380749
0,118,0.129658937
0,119,0.101649974
0,120,0.114193656
0,121,0.103644863
0,122,0.107116486
0,123,0.103902176
0,124,0.104677854
0,125,0.132376373
0,126,0.13255043
0,127,0.136157048
0,128,0.13654153
0,129,0.122741348
0,130,0.110714057
0,131,0.106162524
0,132,0.139023965
0,133,0.146572961
0,134,0.136111842
0,135,0.12606834
0,136,0.186633792
0,137,0.140938252
0,138,0.11229598
0,139,0.138635044
0,140,0.131904709
0,141,0.136787493
0,142,0.125000975
0,143,0.129100839
0,144,0.232327216
0,145,0.200069359
0,146,0.170207535
0,147,0.174748728
0,148,0.199307538
0,149,0.162460949
0,150,0.138243419
0,151,0.169132265
0,152,0.170123948
0,153,0.156296735
0,154,0.150971458
0,155,0.131743225
0,156,0.163751864
0,157,0.173490425
0,158,0.170975078
0,159,0.185512626
0,160,0.144944744
0,161,0.158124991
0,162,0.156658886
0,163,0.164826915
0,164,0.196443858
0,165,0.183836498
0,166,0.135148585
0,167,0.136515233
0,168,0.166385615
0,169,0.159778188
0,170,0.214777871
0,171,0.225069611
0,172,0.213369084
0,173,0.176074903
0,174,0.211514419
0,175,0.159889809
0,176,0.179034013
0,177,0.178582415
0,178,0.171032938
0,179,0.143597563
0,180,0.138787654
0,181,0.139738031
0,182,0.153997335
0,183,0.185522437
0,184,0.145548881
0,185,0.204733228
0,186,0.202506964
0,187,0.222937336
0,188,0.18881244
0,189,0.189966759
0,190,0.18784913
0,191,0.190797891
0,192,0.194158176
0,193,0.191080141
0,194,0.169131627
0,195,0.166027935
0,196,0.216305925
0,197,0.194854214
0,198,0.20743734
0,199,0.237364509
